Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
87,6,16,12,8,Go On Chez,,66,1,9,12,0,,p  ,9 12-0  p,Mr T Hutsby,F Hutsby,
88,6,17,9½,3,Au Fleuron (FR),,200,1,8,12,0,,p  ,8 12-0  p,Miss Aimee Jones,Max Comley,
89,6,PU,,1,Allmankind,,20,1,9,12,0,,t   h  ,9 12-0  t   h,Mr Alex Chadwick,Mrs J Owen,
90,6,PU,,2,Angels Breath,,66,1,11,12,0,,,11 12-0,Mr Edward Vaughan,Tim Vaughan,
91,6,PU,,7,Fairly Famous,,17,2,8,12,0,,,8 12-0,Miss Gina Andrews,Mrs G Andrews,
92,6,PU,,9,Haven't Time,,66,1,11,12,0,,,11 12-0,Miss Lucy Turner,Miss S McQueen,
93,6,PU,,12,Lisleigh Lad,,200,1,7,12,0,,,7 12-0,Mr Darragh Allen,Ms E Broderick,
94,6,F,,19,Take All,,125,1,10,12,0,,t   h  ,10 12-0  t   h,Mr Martin McIntyre,M Osborne,
95,6,U,,20,West Of Carrig,,125,1,8,12,0,,,8 12-0,Mr A J Browne,Don Browne,
96,7,1,,2,Wodhooh (FR),,9,2,5,11,8,,,5 11-8,D J Gilligan,G Elliott,
97,7,2,4¼,12,Act Of Authority (FR),,28,1,7,11,1,,,7 11-1,Lewis Saunders,O Murphy,
98,7,3,4½,17,Raglan Road,,25,1,7,10,12,,,7 10-12,G Brouder,H De Bromhead,
99,7,4,1½,9,Taponthego,,8,1,6,11,2,,,6 11-2,M P O'Connor,H De Bromhead,
100,7,5,1¾,16,Park Of Kings,,25,1,7,10,13,,t  ,7 10-13  t,C Stone-Walsh,P Nolan,
101,7,6,nk,11,Push The Button,,80,1,6,11,2,,p  ,6 11-2  p,Finn Lambert,N A Twiston-Davies,
102,7,7,¾,22,East India Express,,4,1,6,10,10,2Fav,,6 10-10,Freddie Gordon,N J Henderson,
103,7,8,4,21,Mordor (FR),,66,1,5,10,11,,,5 10-11,T P Harney,G Elliott,
104,7,9,1,7,Uncle Bert,,50,1,8,11,3,,,8 11-3,James Turner,N A Twiston-Davies,
105,7,10,½,20,Stormbreaker,,80,1,6,10,11,,t   h  ,6 10-11  t   h,Sean Cleary-Farrell,W P Mullins,
106,7,11,6½,13,Nurse Susan (FR),,16,1,8,11,0,,,8 11-0,Tristan Durrell,D Skelton,
107,7,12,¾,3,No Ordinary Joe,,11,1,9,11,5,,t1  ,9 11-5  t1,Freddie Gingell,N J Henderson,
108,7,13,1¼,1,Tounsivator (FR),,50,1,6,11,12,,,6 11-12,Kieran Callaghan,W P Mullins,
109,7,14,hd,15,Electric Mason,,33,1,6,10,13,,,6 10-13,Caoilin Quinn,C Gordon,
110,7,15,1¼,19,Punctuation,,40,1,8,10,12,,t  ,8 10-12  t,Freddie Mitchell,N J Henderson,
111,7,16,½,6,The Enabler,,25,1,6,11,3,,,6 11-3,James Smith,G Elliott,
112,7,17,shd,23,Harsh,,100,1,5,10,9,,p  ,5 10-9  p,Finn Brickley,G Elliott,
113,7,18,17,5,Minella Sixo,,22,1,6,11,4,,,6 11-4,J Coen,G Elliott,
114,7,19,4¾,14,Doyen Quest,,40,1,7,11,0,,p1  ,7 11-0  p1,Harry Atkins,D Skelton,
115,7,20,1½,8,Kopeck De Mee (FR),,5,2,5,11,3,Fav,,5 11-3,A P Kelly,W P Mullins,
116,7,21,2½,10,Karafon (FR),,25,1,5,11,2,,,5 11-2,Tiernan Power Roche,W P Mullins,
117,7,22,8,4,No Questions Asked,,28,1,7,11,5,,,7 11-5,Callum Pritchard,B Pauling,
118,7,PU,,18,Flash Collonges (FR),,150,1,10,10,12,,t   p  ,10 10-12  t   p,Jack Hogan,Mrs S Leech,
119,7,PU,,24,Wilde About Oscar,,150,1,10,10,7,,t   p  ,10 10-7  t   p,Dylan Johnston,Mrs S Leech,
120,8,1,,8,Our Lil,,4,1,4,10,6,,,4 10-6,C J Todd,D Skelton,
121,8,2,2,4,Keep On Cobbling,,33,1,5,11,2,,,5 11-2,David Bass,H D Daly,
122,8,3,nk,2,Generous Scorpion,,22,1,7,11,2,,,7 11-2,Theo Gillard,D McCain Jnr,
123,8,4,6,7,The Pit Popsy,,200,1,7,11,2,,,7 11-2,Paul O'Brien,H Main,
124,8,5,1¾,5,Plus Point,,2,1,5,10,13,2Fav,,5 10-13,Alice Stevens,Billy Aprahamian,3
125,8,6,17,1,Annie Don,,40,1,6,11,2,,,6 11-2,David Noonan,Henry Oliver,
126,8,7,4¼,6,Polkaface,,20,1,5,11,2,,,5 11-2,J M Quinlan,B I Case,
127,8,F,,3,Irish Chorus,,11,10,6,11,2,Fav,,6 11-2,Thomas Bellamy,A King,
128,9,1,,3,Reallyntruthfully,,8,13,6,11,7,Fav,,6 11-7,Thomas Bellamy,K Bailey & M Nicholls,
129,9,2,½,4,Dramatic Encore,,5,2,5,11,0,2Fav,,5 11-0,Paul O'Brien,Harry Derham,
130,9,3,13,1,De Kingpin,,5,1,6,11,7,,,6 11-7,David Bass,B Pauling,
131,10,1,,5,Burrows Hall (FR),,11,8,8,11,2,Fav,,8 11-2,Danny McMenamin,Mrs S J Smith,
132,10,2,½,6,Rialannah,,4,1,6,10,9,2Fav,,6 10-9,Peter Kavanagh,Mrs S J Smith,3
133,10,3,7,4,Bold Recruit,,5,1,6,11,0,,,6 11-0,Alice Stevens,Billy Aprahamian,3
134,10,4,1½,3,Shared,,9,2,6,11,4,,p  ,6 11-4  p,Paul O'Brien,Harry Derham,
135,10,5,2¼,2,Curley Finger,,10,1,8,11,12,,t   p  ,8 11-12  t   p,Jamie Hamilton,R Menzies,
136,10,6,1¾,1,Pinot Rouge,,12,1,7,11,7,,p  ,7 11-7  p,Jack Power,S Corbett,7
137,11,1,,1,Ashington,,17,2,10,11,7,,p  ,10 11-7  p,Mr Paddy Barlow,M Walford,7
138,11,2,2¼,7,Diamond Dealer,,11,4,6,11,5,Fav,t  ,6 11-5  t,J M Quinlan,B Brookhouse,
139,11,3,3½,5,Gilbertina,,8,1,8,11,3,,,8 11-3,Tom Broughton,N Kent,5
140,11,4,5,4,Pure Carbon,,5,1,6,11,9,,,6 11-9,Paul O'Brien,Harry Derham,
141,11,5,39,8,Saligo Bay,,10,3,7,11,1,2Fav,,7 11-1,Jonathan England,S England,
142,11,6,3½,10,Let's Go Joe,,9,2,7,10,12,,t   p  ,7 10-12  t   p,Henry Brooke,O Greenall & J Guerriero,
143,11,7,7,2,Guy,,16,1,10,11,13,,p  ,10 11-13  p,Thomas Bellamy,N A Twiston-Davies,
144,11,8,11,11,Quickbuck,,100,1,8,9,10,,h1  ,8 9-10  h1,Miss Imogen Mathias,Mrs A M Thorpe,7
145,11,PU,,3,Juan Bermudez,,22,1,6,11,11,,,6 11-11,Lily Pinchin,Henry Oliver,
146,12,1,,2,Loud And Proud,,3,1,6,11,12,2Fav,,6 11-12,Paul O'Brien,Harry Derham,
147,12,2,9½,4,Ann D'arabie (FR),,16,5,6,10,6,,t  ,6 10-6  t,Benjamin Macey,Jonjo & A J O'Neill,7
148,12,3,14,5,You Say Its Over,,10,3,7,10,7,,p  ,7 10-7  p,Danny McMenamin,Micky Hammond,
149,12,4,8½,3,Baby Chou,,85,40,7,11,4,Fav,t  ,7 11-4  t,Jonathan England,S England,
150,12,5,13,1,Intersky Sunset,,11,1,8,12,0,,t   p1  ,8 12-0  t   p1,Sean Quinlan,J Candlish,
151,13,1,,7,Queen Kate,,6,1,5,10,7,,,5 10-7,Shane Fenelon,P & M Bowen,5
152,13,2,1¼,2,Jaffa Cake,,15,8,5,11,5,Fav,,5 11-5,David Bass,B Pauling,
153,13,3,1¾,5,Roll Tide,,14,1,5,11,5,,,5 11-5,Paul O'Brien,H Main,
154,13,4,hd,3,Known Warrior (FR),,5,1,5,11,5,,,5 11-5,Harry Bannister,R Bandey,
155,13,5,2,4,Noble George,,11,4,5,11,5,2Fav,h1  ,5 11-5  h1,Sean Quinlan,J Candlish,
156,13,6,1,1,Dartmouth Castle,,10,1,5,11,5,,,5 11-5,Theo Gillard,D McCain Jnr,
157,13,7,4¼,6,Brooklynese,,20,1,6,10,12,,,6 10-12,Jamie Hamilton,M & D Easterby,
158,14,1,,1,Dinofromberlais,,11,5,5,11,3,Fav,,5 11-3,Lewis Stones,O Murphy,3
159,14,2,nk,4,Mount Olympus,,6,1,7,11,6,,,7 11-6,Rex Dingle,A King,
160,14,3,12,3,Linden Lane,,14,1,5,10,13,,,5 10-13,Mr Barry Thomas Stone,Evan Williams,7
161,14,4,¾,7,Crown Of India,,9,2,4,10,5,,,4 10-5,Jamie Brace,A M Hales,5
162,14,5,9,6,Zafaan,,10,3,5,11,6,2Fav,,5 11-6,Adam Wedge,Charlie Clover,
163,14,6,4¾,8,Organic,,4,1,4,10,3,,,4 10-3,C O'Farrell,N P Mulholland,
164,14,PU,,2,Global Resolve,,80,1,5,11,3,,,5 11-3,Tabitha Worsley,P Charalambous & J Clutterbuck,3
165,15,1,,4,Rock On Rita,,6,4,9,10,2,2Fav,p  ,9 10-2  (oh 2)   p,R P McLernon,N P Mulholland,
166,15,2,5½,1,Taxus Baccata,,11,10,7,12,3,Fav,,7 12-3  (ex7),C O'Farrell,M Crawley,
167,15,3,15,2,It's Easy (FR),,8,1,7,12,0,,,7 12-0,Adam Wedge,Evan Williams,
168,15,PU,,3,Call Blue,,11,1,8,9,11,,,8 9-11  (oh 1),Jamie Brace,N A Twiston-Davies,5
